year,plan_hash,estimated_cost,estimated_rows,execution_time_ms
2025,5b2dd46ef2f3826a01cfb5faf4e58569,271968.06,1,4623.798
2020,3254824e45b87c8885d0616ec404d19c,299349.48,1,3777.496
2015,3254824e45b87c8885d0616ec404d19c,312559.3,1,1765.466
2010,3254824e45b87c8885d0616ec404d19c,322442.1,1,1876.251
2005,3254824e45b87c8885d0616ec404d19c,328546.82,1,2078.531
2000,3254824e45b87c8885d0616ec404d19c,332310.7,1,2130.015
1995,3254824e45b87c8885d0616ec404d19c,334957.57,1,1939.349
1990,3254824e45b87c8885d0616ec404d19c,336858.43,1,2169.78
1985,3254824e45b87c8885d0616ec404d19c,338415.03,1,1992.318
1980,3254824e45b87c8885d0616ec404d19c,339706.71,1,2096.857
1975,3254824e45b87c8885d0616ec404d19c,340953.26,1,2277.664
1970,3254824e45b87c8885d0616ec404d19c,342279.14,1,2206.754
1965,3254824e45b87c8885d0616ec404d19c,343459.28,1,2269.513
1960,3254824e45b87c8885d0616ec404d19c,344321.19,1,2228.514
1955,3254824e45b87c8885d0616ec404d19c,344981.11,1,2039.225
1950,3254824e45b87c8885d0616ec404d19c,345388.5,1,1899.16
1945,3254824e45b87c8885d0616ec404d19c,345463.17,1,2018.957
1940,3254824e45b87c8885d0616ec404d19c,345537.8,1,1932.11
1935,3254824e45b87c8885d0616ec404d19c,345647.74,1,2119.951
1930,3254824e45b87c8885d0616ec404d19c,345742.04,1,2063.795
1925,3254824e45b87c8885d0616ec404d19c,345834.32,1,2385.622
1920,3254824e45b87c8885d0616ec404d19c,345965.94,1,2708.381
1915,3254824e45b87c8885d0616ec404d19c,346160.92,1,2741.398
1910,3254824e45b87c8885d0616ec404d19c,346442.62,1,3640.245
1905,3254824e45b87c8885d0616ec404d19c,346500.41,1,2298.542
1900,3254824e45b87c8885d0616ec404d19c,346557.38,1,2088.155
1895,3254824e45b87c8885d0616ec404d19c,346575.05,1,2162.478
